week,away,home,away_score,home_score,model_away,model_home,spread,total,winner_correct,ats_correct,ou_correct
16,JAX,DEN,34,20,21.2,23.9,-5.5,45.5,false,,
16,ATL,ARI,26,19,25.2,22.6,-3.5,46.5,true,,
16,LV,HOU,21,23,15.4,28.5,-4.5,43.5,true,,
16,PIT,DET,29,24,24.2,37.9,-6,45.5,false,,
16,NE,BAL,28,24,15.4,32.6,-2.5,48.5,false,,
16,SF,IND,48,27,28.5,25.6,3,46.5,true,,
17,DAL,WAS,30,23,26,28.4,-5.5,48.5,false,,
17,DET,MIN,10,23,34.3,32.7,2.5,46.5,false,,
17,DEN,KC,20,13,25.3,34.8,-4.5,44.5,false,,
17,HOU,LAC,20,16,29.8,30.4,1.5,39.5,false,,
17,BAL,GB,41,24,33,31.9,1.5,46.5,true,,
17,SEA,CAR,27,10,20.7,16.4,1.5,43.5,true,,
17,ARI,CIN,14,37,18.7,28.3,-3.5,47.5,true,,
17,NO,TEN,34,26,19.5,17.7,-3.5,42.5,true,,
17,JAX,IND,23,17,18.5,21.6,-1.5,45.5,false,,
17,TB,MIA,17,20,23.9,30.1,1.5,47.5,true,,
17,NE,NYJ,42,10,15.7,21.4,1.5,41.5,false,,
17,PIT,CLE,6,13,24.6,23.4,2.5,40.5,false,,
17,NYG,LV,34,10,12.9,15.7,-2.5,42.5,false,,
17,PHI,BUF,13,12,32.4,37.7,-1.5,46.5,false,,
17,CHI,SF,38,42,23.8,31.4,-3.5,46.5,true,,
17,LAR,ATL,24,27,27.2,30.1,3,46.5,true,,
18,CAR,TB,14,16,15.5,23.5,-2.5,43.5,true,,
18,SEA,SF,13,3,26.8,31,-4.5,44.5,false,,
18,IND,HOU,30,38,21.2,30.5,-4.5,,true,,
18,GB,MIN,3,16,28.8,32.6,1.5,44.5,true,,
18,CLE,CIN,20,18,17.4,30.9,-8.5,43.5,false,,
18,NO,ATL,17,19,22.8,28.7,-4.5,,true,,
18,DAL,NYG,17,34,24.8,19.7,1.5,,false,,
18,TEN,JAX,7,41,13.8,19,-4.5,43.5,true,,
18,KC,LV,12,14,27.6,19.7,6,,false,,
18,ARI,LAR,20,37,20.8,28,-4.5,45.5,true,,
18,LAC,DEN,3,19,29.4,26.7,-2.5,42.5,false,,
18,DET,CHI,19,16,32.4,24.9,1.5,,true,,
18,NYJ,BUF,8,35,23.7,38.3,-9.5,,true,,
18,MIA,NE,10,38,24.8,15.1,-2.5,,false,,
18,WAS,PHI,24,17,26.2,31.6,-4.5,,false,,
18,BAL,PIT,24,26,34.7,27.8,3.5,40.5,false,,
