player_display_name,player_name,position,recent_team,season,games,data_source,receiving_yards,receptions,targets,receiving_tds,receiving_epa,target_share,air_yards_share,wopr,catchRate,aDOT,yacPerRec,rushing_yards,carries,rushing_tds,rushing_epa,ypc,passing_yards,attempts,completions,passing_tds,passing_interceptions,passing_epa
Darrynton Evans,D.Evans,RB,CHI,2025,1,reg_2024_baseline,0,0,0,0,,0.0,0.0,0.0,,,,3,3,0,-1.29481282713823,1.0,0,0,0,0,0,
K.J. Osborn,K.Osborn,WR,WAS,2025,7,reg_2024_baseline,57,7,18,1,-7.30676349862729,0.036,0.0278718416254233,0.0735102891377963,0.3888888888888889,,,0,0,0,,,0,0,0,0,0,
Joshua Kelley,J.Kelley,RB,TEN,2025,1,reg_2024_baseline,0,0,0,0,,0.0,0.0,0.0,,,,2,1,0,-0.386650822241791,2.0,0,0,0,0,0,
Jalen Reagor,J.Reagor,WR,LAC,2025,7,reg_2024_baseline,100,7,12,0,-7.27586233012443,0.0244399185336049,0.0281916112766445,0.0563940056940585,0.5833333333333334,,,-3,3,0,-2.34163665992674,-1.0,0,0,0,0,0,
Stephen Sullivan,S.Sullivan,TE,CAR,2025,1,reg_2024_baseline,0,0,1,0,-0.532159550348297,0.0019305019305019,0.003584229390681,0.0054047134692296,0.0,,,0,0,0,,,0,0,0,0,0,
Ke'Shawn Vaughn,K.Vaughn,RB,SF,2025,1,reg_2024_baseline,0,0,0,0,,0.0,0.0,0.0,,,,4,2,0,-0.63253441057168,2.0,0,0,0,0,0,
Kenny Yeboah,K.Yeboah,TE,NYJ,2025,7,reg_2024_baseline,47,5,8,1,2.71854370698566,0.0135823429541596,0.0089653501332687,0.0266492595245275,0.625,,,0,0,0,,,0,0,0,0,0,
Brevin Jordan,B.Jordan,TE,HOU,2025,2,reg_2024_baseline,7,2,3,0,1.45120431156829,0.0054844606946983,0.0002149151085321,0.00837713161802,0.6666666666666666,,,0,0,0,,,0,0,0,0,0,
Ihmir Smith-Marsette,I.Smith-Marsette,WR,NYG,2025,15,reg_2024_baseline,0,0,0,0,,0.0,0.0,0.0,,,,0,0,0,,,0,0,0,0,0,
Zach Davidson,Z.Davidson,TE,BUF,2025,2,reg_2024_baseline,5,1,2,0,-0.715841856901534,0.004040404040404,0.002346316283435,0.0077030274590105,0.5,,,0,0,0,,,0,0,0,0,0,
Jermar Jefferson,J.Jefferson,RB,DET,2025,2,reg_2024_baseline,10,1,1,0,0.488208144903183,0.0019157088122605,0.0,0.0028735632183908,1.0,,,22,6,0,-0.785035908455029,3.6666666666666665,0,0,0,0,0,
Jaelon Darden,J.Darden,WR,SEA,2025,11,reg_2024_baseline,6,1,1,0,0.736790606519207,0.001577287066246,-0.0005826374053214,0.001958084415644,1.0,,,0,0,0,,,0,0,0,0,0,
Kadarius Toney,K.Toney,WR,CLE,2025,3,reg_2024_baseline,0,0,1,0,-0.514176621800289,0.001577287066246,-0.0009710623422023,0.0016861869598274,0.0,,,-4,2,0,-1.60571747412905,-2.0,0,0,0,0,0,
Kyle Trask,K.Trask,QB,TB,2025,3,reg_2024_baseline,0,0,0,0,,0.0,0.0,0.0,,,,-4,5,0,-6.62303357804194,-0.8,5,1,1,0,0,0.297810939140618
Terrace Marshall Jr.,T.Marshall,WR,LV,2025,5,reg_2024_baseline,41,3,6,0,-0.519154131414975,0.0101351351351351,0.011672278338945,0.0233732975399642,0.5,,,0,0,0,,,0,0,0,0,0,
Sam Howell,S.Howell,QB,SEA,2025,1,reg_2024_baseline,0,0,0,0,,0.0,0.0,0.0,,,,2,1,0,-0.707496352493763,2.0,24,14,5,0,1,-15.5729183114717
Irvin Charles,I.Charles,WR,NYJ,2025,8,reg_2024_baseline,0,0,1,0,-0.40983277419582,0.0016977928692699,0.0007269202810758,0.003055533500658,0.0,,,0,0,0,,,0,0,0,0,0,
Justyn Ross,J.Ross,WR,KC,2025,1,reg_2024_baseline,0,0,1,0,-1.216528201635,0.0017482517482517,0.0026274303730951,0.0044615788835442,0.0,,,0,0,0,,,0,0,0,0,0,
David Bell,D.Bell,WR,CLE,2025,1,reg_2024_baseline,27,3,3,0,3.21417321183253,0.0047318611987381,0.003690036900369,0.0096808176283655,1.0,,,0,0,0,,,0,0,0,0,0,
Montrell Washington,M.Washington,WR,KC,2025,1,reg_2024_baseline,0,0,0,0,,0.0,0.0,0.0,,,,0,0,0,,,0,0,0,0,0,
Keaontay Ingram,K.Ingram,RB,KC,2025,1,reg_2024_baseline,0,0,0,0,,0.0,0.0,0.0,,,,0,0,0,,,0,0,0,0,0,
Mike Woods,M.Woods,WR,CLE,2025,5,reg_2024_baseline,65,7,17,0,-9.09170924811042,0.026813880126183,0.0363177315983686,0.0656432323081325,0.4117647058823529,,,0,0,0,,,0,0,0,0,0,
Skylar Thompson,S.Thompson,QB,MIA,2025,2,reg_2024_baseline,0,0,0,0,,0.0,0.0,0.0,,,,4,1,0,-2.46101770619862,4.0,187,33,21,0,0,-15.5110251420131
Brandon Johnson,B.Johnson,WR,PIT,2025,1,reg_2024_baseline,9,1,1,0,0.703277167282067,0.0021739130434782,0.0012671059300557,0.0041478437162564,1.0,,,0,0,0,,,0,0,0,0,0,
Jalen Virgil,J.Virgil,WR,BUF,2025,3,reg_2024_baseline,0,0,0,0,,0.0,0.0,0.0,,,,0,0,0,,,0,0,0,0,0,
Kendric Pryor,K.Pryor,WR,CIN,2025,1,reg_2024_baseline,9,1,1,0,0.680167773389258,0.001592356687898,0.0019505851755526,0.003753944654734,1.0,,,0,0,0,,,0,0,0,0,0,
Raheem Blackshear,R.Blackshear,RB,CAR,2025,16,reg_2024_baseline,0,0,0,0,,0.0,0.0,0.0,,,,80,15,0,-0.66176023427397,5.333333333333333,0,0,0,0,0,
Tyreik McAllister,T.McAllister,WR,LV,2025,2,reg_2024_baseline,0,0,0,0,,0.0,0.0,0.0,,,,11,2,0,-0.0164878789801151,5.5,0,0,0,0,0,
Rod Williams,R.Williams,TE,PIT,2025,1,reg_2024_baseline,0,0,0,0,,0.0,0.0,0.0,,,,0,0,0,,,0,0,0,0,0,
Troy Hairston,T.Hairston,RB,HOU,2025,2,reg_2024_baseline,0,0,0,0,,0.0,0.0,0.0,,,,0,0,0,,,0,0,0,0,0,
Sincere McCormick,S.McCormick,RB,LV,2025,4,reg_2024_baseline,29,6,7,0,-0.8935149537283,0.0118243243243243,0.0006734006734006,0.018207866957867,0.8571428571428571,,,183,39,0,0.447879384562839,4.6923076923076925,0,0,0,0,0,
Peyton Hendershot,P.Hendershot,TE,KC,2025,5,reg_2024_baseline,51,5,5,0,2.67603629227961,0.0087412587412587,0.0049921177088807,0.0166063705081046,1.0,,,0,0,0,,,0,0,0,0,0,
Aaron Shampklin,A.Shampklin,RB,PIT,2025,3,reg_2024_baseline,0,0,0,0,,0.0,0.0,0.0,,,,17,6,0,-2.41446994639547,2.833333333333333,0,0,0,0,0,
Maurice Alexander,M.Alexander,WR,DET,2025,2,reg_2024_baseline,0,0,0,0,,0.0,0.0,0.0,,,,0,0,0,,,0,0,0,0,0,
Tyrion Davis-Price,T.Davis-Price,RB,PHI,2025,1,reg_2024_baseline,0,0,0,0,,0.0,0.0,0.0,,,,7,3,0,-1.85095043038018,2.333333333333333,0,0,0,0,0,
Erik Ezukanma,E.Ezukanma,WR,MIA,2025,1,reg_2024_baseline,0,0,2,0,-2.41914490703493,0.0035211267605633,0.0158986796011857,0.016410765861675,0.0,,,0,0,0,,,0,0,0,0,0,
Pierre Strong,P.Strong,RB,CLE,2025,13,reg_2024_baseline,104,14,22,0,-2.74923973012717,0.0347003154574132,0.0011652748106428,0.0528661655535699,0.6363636363636364,,,108,26,0,-1.51613372412976,4.153846153846154,0,0,0,0,0,
Bailey Zappe,B.Zappe,QB,CLE,2025,1,reg_2024_baseline,0,0,0,0,,0.0,0.0,0.0,,,,2,2,0,-0.289851196925156,1.0,170,31,16,1,2,-16.8488054084006
Desmond Ridder,D.Ridder,QB,LV,2025,5,reg_2024_baseline,0,0,0,0,,0.0,0.0,0.0,,,,36,9,0,1.49767392169451,4.0,458,85,52,2,2,-22.0815133874012
Tommy DeVito,T.DeVito,QB,NYG,2025,2,reg_2024_baseline,0,0,0,0,,0.0,0.0,0.0,,,,32,8,0,-2.73994594844407,4.0,257,44,31,0,0,-8.00893249030924
Bryce Ford-Wheaton,B.Ford-Wheaton,WR,NYG,2025,5,reg_2024_baseline,0,0,0,0,,0.0,0.0,0.0,,,,0,0,0,,,0,0,0,0,0,
Ben VanSumeren,B.VanSumeren,RB,PHI,2025,3,reg_2024_baseline,0,1,1,0,-0.48021248326404,0.0023923444976076,0.0,0.0035885167464114,1.0,,,0,0,0,,,0,0,0,0,0,
Grant DuBose,G.DuBose,WR,MIA,2025,2,reg_2024_baseline,11,2,4,0,-4.10426956950687,0.0070422535211267,0.012665049851792,0.0194289151779445,0.5,,,0,0,0,,,0,0,0,0,0,
Hendon Hooker,H.Hooker,QB,DET,2025,3,reg_2024_baseline,0,0,0,0,,0.0,0.0,0.0,,,,2,5,0,-2.99576760584023,0.4,62,9,6,0,0,-2.0768875653945
Dorian Thompson-Robinson,D.Thompson-Robinson,QB,CLE,2025,6,reg_2024_baseline,0,0,0,0,,0.0,0.0,0.0,,,,122,21,0,5.99139755265787,5.809523809523809,440,118,61,0,6,-71.1411469733575
Deuce Vaughn,D.Vaughn,RB,DAL,2025,5,reg_2024_baseline,18,3,5,0,-1.9020850348752,0.0080385852090032,0.0,0.0120578778135048,0.6,,,70,17,0,-4.09176857437706,4.117647058823529,0,0,0,0,0,
